Type,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Latest,Stock,Max,Diff%
Profit,822.0,443.0,580.0,914.0,1458.0,1454.0,1865.0,2022.0,AUBANK.NS,2022.0,0.0
Sales,21755.0,25210.0,30358.0,29919.0,27741.0,33145.0,36455.0,38762.0,BAJAJ-AUTO.NS,38762.0,0.0
Profit,5588.0,5933.0,6956.0,6692.0,6241.0,7652.0,7842.0,8492.0,BAJAJ-AUTO.NS,8492.0,0.0
Sales,31540.0,29113.0,32339.0,35817.0,45182.0,43035.0,52990.0,57931.0,CANBK.NS,57931.0,0.0
Profit,1746.0,-6408.0,-2111.0,-1514.0,3882.0,9145.0,14427.0,16398.0,CANBK.NS,16398.0,0.0
Sales,1568.0,1870.0,2075.0,2124.0,2194.0,2429.0,2478.0,2220.0,HDFCAMC.NS,2478.0,10.41
Profit,800.0,1058.0,1375.0,1653.0,1749.0,1855.0,1871.0,2057.0,HDFCAMC.NS,2057.0,0.0
Sales,34836.0,34262.0,39178.0,44666.0,42659.0,41167.0,50543.0,55822.0,ICICIBANK.NS,55822.0,0.0
Profit,13809.0,10978.0,7408.0,18589.0,25884.0,34241.0,47255.0,51617.0,ICICIBANK.NS,51617.0,0.0
Sales,3815.0,4535.0,5765.0,6485.0,4941.0,7710.0,14146.0,14359.0,IGL.NS,14359.0,0.0
Profit,904.0,1096.0,1269.0,1556.0,1422.0,1953.0,2122.0,2172.0,IGL.NS,2172.0,0.0
Sales,4173.0,3750.0,4291.0,4739.0,4340.0,4101.0,4609.0,4914.0,J&KBANK.NS,4914.0,0.0
Profit,-1507.0,121.0,659.0,-1144.0,537.0,746.0,1786.0,2001.0,J&KBANK.NS,2001.0,0.0
Sales,2583.0,3018.0,3563.0,3927.0,3312.0,4396.0,5158.0,5238.0,JUBLFOOD.NS,5238.0,0.0
Profit,88.0,303.0,490.0,403.0,306.0,563.0,489.0,394.0,JUBLFOOD.NS,563.0,30.02
Sales,11458.0,12467.0,15187.0,15901.0,12967.0,11554.0,14411.0,16240.0,KOTAKBANK.NS,16240.0,0.0
Profit,7332.0,9158.0,10576.0,11422.0,13168.0,15948.0,19646.0,21547.0,KOTAKBANK.NS,21547.0,0.0
Sales,1631.0,1941.0,2292.0,2410.0,2359.0,2653.0,2783.0,2854.0,RELAXO.NS,2854.0,0.0
Profit,178.0,244.0,268.0,292.0,391.0,311.0,210.0,232.0,RELAXO.NS,391.0,40.66
Sales,303954.0,390823.0,568337.0,596679.0,466307.0,698672.0,877835.0,867612.0,RELIANCE.NS,877835.0,1.16
Profit,40034.0,49426.0,55227.0,53606.0,55461.0,84142.0,94464.0,91902.0,RELIANCE.NS,94464.0,2.71
Sales,4822.0,5589.0,7100.0,7209.0,8400.0,12434.0,14870.0,14314.0,SRF.NS,14870.0,3.74
Profit,657.0,582.0,818.0,1018.0,1612.0,2586.0,2824.0,2468.0,SRF.NS,2824.0,12.61
Sales,12714.0,8116.0,5025.0,2973.0,3346.0,6582.0,5971.0,5941.0,SUZLON.NS,12714.0,53.27
Profit,912.0,-391.0,-1543.0,-2684.0,105.0,0.0,2892.0,516.0,SUZLON.NS,2892.0,82.16
Sales,112299.0,123249.0,157669.0,148972.0,156477.0,243959.0,243353.0,239412.0,TATASTEEL.NS,243959.0,1.86
Profit,-1391.0,21135.0,15841.0,-1380.0,13844.0,50227.0,18235.0,8184.0,TATASTEEL.NS,50227.0,83.71
Sales,47.0,47.0,203.0,91.0,91.0,136.0,187.0,205.0,TIPSINDLTD.NS,205.0,0.0
