Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,Criteria,Strategy,InPortfolio,LatestQtr,StarStock,BizCheck,FinCheck,TechCheck,Conviction,Category,Stock
HONAUT,,,,,0,V40N,,NA,1,0,1,,,M,,HONAUT.NS
IBREALEST,,,,11.3,0,,,NA,1,0,0,,0,L,REALTY,IBREALEST.NS
ICICIBANK,,,,24.2,1,V40,,NA,1,1,0,,1,H,BANKS,ICICIBANK.NS
ICICIGI,1177.58,1600,84,46.2,1,V40,ATH,AR,1,1,1,1,1,H,INSURANCE,ICICIGI.NS
ICICIPRULI,443,,,60.9,1,V40,,NA,1,0,0,,1,M,INSURANCE,ICICIPRULI.NS
IEX,127.3,,394,47.6,0,VR,ATH,AR,1,1,,,,M,MISC,IEX.NS
IGL,,,,,1,,,NA,1,1,0,P,,L,,IGL.NS
INDIANB,,,,7.4,0,,,NA,1,1,0,,1,H,,INDIANB.NS
INDIGO,,,,30.7,1,,,NA,1,1,0,,1,L,AIRLINES,INDIGO.NS
INDIGOPNTS,1407.73,2600,124,104.9,0,V40N,2T3Y,AR,1,1,1,1,1,M,PAINTS,INDIGOPNTS.NS
INDUSINDBK,1301.47,1800,36,22.8,1,VR,ATH,AR,1,1,1,1,1,M,BANKS,INDUSINDBK.NS
INDUSTOWER,,,,,1,,,NA,1,0,0,,1,H,,INDUSTOWER.NS
INFY,1324.07,1800,70,29,1,V40,ATH,AR,1,1,1,1,1,H,IT,INFY.NS
IOC,,,,,1,,,NA,1,1,0,V,,L,,IOC.NS
IRCTC,633.05,900,120,77.4,0,AR,ATH,AR,1,1,1,1,1,M,TRAVEL,IRCTC.NS
ISEC,,,,,0,V40N,,NA,1,0,1,,,M,,ISEC.NS
ITBEES,31.49,40,3350,,,AR,ATH,AR,0,1,1,1,1,L,IT,ITBEES.NS
ITC,,,,19.7,1,V40,,NA,1,1,0,,1,H,FMCG,ITC.NS
J&KBANK,70.75,107,425,4.8,0,VR,ATH,AR,1,1,1,1,1,M,BANKS,J&KBANK.NS
JCHAC,,,,,0,V40N,,NA,1,0,1,,,M,,JCHAC.NS
JINDALSTEL,,,,,1,,,NA,1,0,0,,,L,,JINDALSTEL.NS
JMFINANCIL,69.17,160,675,11.2,0,VR,2T3Y,AR,1,0,1,1,1,L,FINANCE,JMFINANCIL.NS
JPPOWER,7.2,,4300,29.7,,VR,ATH,AR,1,0,1,1,1,L,POWER,JPPOWER.NS
JSWSTEEL,,,,,1,,,NA,1,0,0,,,L,,JSWSTEEL.NS
JUBLFOOD,471.56,800,164,90.5,1,AR,ATH,AR,1,0,1,1,1,M,RESTAURANTS,JUBLFOOD.NS
KANSAINER,,,,,0,V40N,,NA,1,1,1,,,M,,KANSAINER.NS
KOTAKBANK,1859.9,2270,52,34.4,1,V40,BTT,AR,1,1,0,,1,L,BANKS,KOTAKBANK.NS
LALPATHLAB,,,,,0,V40N,,NA,1,0,1,,,M,,LALPATHLAB.NS
LICI,660.73,,76,,1,V200,,AR,1,1,1,,,M,INSURANCE,LICI.NS
LT,,,,,1,V200,,NA,1,1,0,,1,M,ENGINEERING,LT.NS
