Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
VEDL.NS,2020-08-15,122.65,2.78,15973.0,-18.77,79046.0,-6.53,,,,,,,,,,,
VEDL.NS,2020-11-15,108.05,2.25,21107.0,-22.33,78195.0,-4.84,2.78,-18.77,15973.0,-6.53,122.65,18.97,-30.77,-11.8,32.14,-19.06,-11.8
VEDL.NS,2021-02-15,182.35,8.87,22735.0,-19.78,79570.0,-9.22,2.25,-22.33,21107.0,-4.84,108.05,-11.42,80.18,68.76,7.71,294.22,68.76
VEDL.NS,2021-05-16,272.4,17.3,28206.0,31.200000000000003,88021.0,8.73,8.87,-19.78,22735.0,-9.22,182.35,-257.74,307.12,49.379999999999995,24.06,95.04,49.379999999999995
VEDL.NS,2021-08-15,328.65,11.36,28412.0,39.78,100460.0,8.26,17.3,31.200000000000003,28206.0,8.73,272.4,27.5,-6.86,20.64,0.73,-34.34,20.64
VEDL.NS,2021-11-15,328.2,12.42,30401.0,49.949999999999996,109754.0,6.57,11.36,39.78,28412.0,8.26,328.65,25.57,-25.69,-0.120000000000001,7.0,9.33,-0.120000000000001
YESBANK.NS,2020-08-15,15.1,0.03,3577.0,-73.11,17300.0,-0.21,,,,,,,,,,,
YESBANK.NS,2020-11-15,14.55,0.05,3271.0,-70.59,15372.0,-0.21,0.03,-73.11,3577.0,-0.21,15.1,-3.45,-0.0,-3.45,-8.55,66.67,-3.45
YESBANK.NS,2021-02-15,16.4,0.06,2760.0,2.2600000000000002,13555.0,7.26,0.05,-70.59,3271.0,-0.21,14.55,-103.2,116.03,12.829999999999998,-15.62,20.0,12.829999999999998
YESBANK.NS,2021-05-16,13.2,-1.51,3003.0,-1.3699999999999999,12611.0,-9.64,0.06,2.2600000000000002,2760.0,7.26,16.4,-160.62,141.18,-19.439999999999998,8.8,-2616.67,-19.439999999999998
YESBANK.NS,2021-08-15,11.9,0.08,3123.0,-1.3199999999999998,12157.0,-9.02,-1.51,-1.3699999999999999,3003.0,-9.64,13.2,-3.65,-6.2,-9.85,4.0,-105.3,-9.85
YESBANK.NS,2021-11-15,13.15,0.09,3140.0,-1.28,12026.0,-10.27,0.08,-1.3199999999999998,3123.0,-9.02,11.9,-3.03,13.45,10.42,0.54,12.5,10.42
