Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
CANBK.NS,2021-05-16,147.55,7.26,10725.0,18.31,45183.0,8.06,4.55,-20.11,11128.0,-7.81,157.1,-191.05,184.96,-6.090000000000003,-3.62,59.56,-6.090000000000003
CANBK.NS,2021-08-15,156.0,7.5,10627.0,22.52,43868.0,6.93,7.26,18.31,10725.0,8.06,147.55,22.99,-17.25,5.739999999999998,-0.91,3.31,5.739999999999998
CANBK.NS,2021-11-15,230.8,7.25,10791.0,26.56,43271.0,8.69,7.5,22.52,10627.0,6.93,156.0,17.94,29.97,47.91,1.54,-3.33,47.91
DIVISLAB.NS,2020-08-15,3089.8,18.54,1730.0,60.129999999999995,5962.0,51.39,,,,,,,,,,,
DIVISLAB.NS,2020-11-15,3444.95,19.57,1749.0,66.25999999999999,6265.0,51.99,18.54,60.129999999999995,1730.0,51.39,3089.8,10.19,1.29,11.48,1.1,5.56,11.48
DIVISLAB.NS,2021-02-15,3719.4,17.73,1701.0,70.46,6570.0,52.79,19.57,66.25999999999999,1749.0,51.99,3444.95,6.34,1.64,7.9799999999999995,-2.74,-9.4,7.9799999999999995
DIVISLAB.NS,2021-05-16,4020.55,18.91,1788.0,74.75,6968.0,53.79,17.73,70.46,1701.0,52.79,3719.4,6.09,2.01,8.1,5.11,6.66,8.1
DIVISLAB.NS,2021-08-15,4948.7,20.99,1961.0,77.19999999999999,7199.0,64.1,18.91,74.75,1788.0,53.79,4020.55,3.28,19.8,23.080000000000002,9.68,11.0,23.080000000000002
DIVISLAB.NS,2021-11-15,4843.8,22.84,1988.0,80.47,7438.0,60.19,20.99,77.19999999999999,1961.0,64.1,4948.7,4.24,-6.36,-2.12,1.38,8.81,-2.12
FEDERALBNK.NS,2020-08-15,52.6,2.05,2197.0,8.11,8778.0,6.49,,,,,,,,,,,
FEDERALBNK.NS,2020-11-15,56.6,1.58,2159.0,7.549999999999999,8783.0,7.5,2.05,8.11,2197.0,6.49,52.6,-6.91,14.5,7.59,-1.73,-22.93,7.59
FEDERALBNK.NS,2021-02-15,83.15,2.1,2076.0,7.380000000000001,8653.0,11.27,1.58,7.549999999999999,2159.0,7.5,56.6,-2.25,49.16,46.91,-3.84,32.91,46.91
FEDERALBNK.NS,2021-05-16,79.65,2.61,2003.0,8.34,8435.0,9.55,2.1,7.380000000000001,2076.0,11.27,83.15,13.01,-17.25,-4.24,-3.52,24.29,-4.24
FEDERALBNK.NS,2021-08-15,85.3,1.79,2000.0,8.08,8238.0,10.56,2.61,8.34,2003.0,9.55,79.65,-3.12,10.25,7.13,-0.15,-31.42,7.13
FEDERALBNK.NS,2021-11-15,100.1,2.31,1959.0,8.809999999999999,8038.0,11.36,1.79,8.08,2000.0,10.56,85.3,9.03,8.26,17.29,-2.05,29.05,17.29
HAVELLS.NS,2020-08-15,611.0,1.02,1483.0,9.940000000000001,8206.0,61.47,,,,,,,,,,,
HAVELLS.NS,2020-11-15,827.0,5.21,2459.0,12.280000000000001,8432.0,67.35,1.02,9.940000000000001,1483.0,61.47,611.0,23.54,11.82,35.36,65.81,410.78,35.36
HAVELLS.NS,2021-02-15,1141.95,5.59,3175.0,14.66,9334.0,77.9,5.21,12.280000000000001,2459.0,67.35,827.0,19.38,18.7,38.08,29.12,7.29,38.08
HAVELLS.NS,2021-05-16,997.55,4.85,3339.0,16.669999999999998,10456.0,59.84,5.59,14.66,3175.0,77.9,1141.95,13.71,-26.36,-12.649999999999999,5.17,-13.24,-12.649999999999999
