"DateTime","NIFTY50","NIFTY50 - PE"
"2003-12-23 05:30:00",1780.3,19.63
"2003-12-24 05:30:00",1808.7,19.95
"2003-12-26 05:30:00",1837.05,20.26
"2003-12-29 05:30:00",1874.05,20.67
"2003-12-30 05:30:00",1873.25,20.66
"2003-12-31 05:30:00",1879.75,20.73
"2004-01-01 05:30:00",1912.25,21.09
"2004-01-02 05:30:00",1946.05,21.46
"2004-01-05 05:30:00",1955,21.56
"2004-01-06 05:30:00",1926.7,21.25
"2004-01-07 05:30:00",1916.75,21.14
"2004-01-08 05:30:00",1968.55,21.71
"2004-01-09 05:30:00",1971.9,21.75
"2004-01-12 05:30:00",1945.6,21.46
"2004-01-13 05:30:00",1963.6,21.66
"2004-01-14 05:30:00",1982.15,21.86
"2004-01-15 05:30:00",1944.45,21.44
"2004-01-16 05:30:00",1900.65,20.96
"2004-01-19 05:30:00",1935.35,21.35
"2004-01-20 05:30:00",1893.25,20.88
"2004-01-21 05:30:00",1824.6,20.13
"2004-01-22 05:30:00",1770.5,19.53
"2004-01-23 05:30:00",1847.55,20.38
"2004-01-27 05:30:00",1904.7,21.01
"2004-01-28 05:30:00",1863.1,20.55
"2004-01-29 05:30:00",1843.6,20.34
"2004-01-30 05:30:00",1809.75,19.96
"2004-02-03 05:30:00",1769,19.55
"2004-02-04 05:30:00",1822.2,20.14
"2004-02-05 05:30:00",1804.5,19.94
"2004-02-06 05:30:00",1833.65,20.27
"2004-02-09 05:30:00",1880.7,20.78
"2004-02-10 05:30:00",1880.75,20.79
"2004-02-11 05:30:00",1891.5,20.71
"2004-02-12 05:30:00",1885.3,20.64
"2004-02-13 05:30:00",1913.6,20.95
"2004-02-16 05:30:00",1913.55,20.98
"2004-02-17 05:30:00",1920.1,21.05
"2004-02-18 05:30:00",1916.45,21.01
"2004-02-19 05:30:00",1858.3,20.38
"2004-02-20 05:30:00",1852.65,20.31
"2004-02-23 05:30:00",1808.2,19.83
"2004-02-24 05:30:00",1821.35,19.97
"2004-02-25 05:30:00",1786.8,19.6
"2004-02-26 05:30:00",1765.8,19.37
"2004-02-27 05:30:00",1800.3,19.74
"2004-03-01 05:30:00",1852.7,21.57
"2004-03-03 05:30:00",1860.4,21.72
"2004-03-04 05:30:00",1843.85,21.53
"2004-03-05 05:30:00",1867.7,21.81
"2004-03-08 05:30:00",1885.25,22.01
"2004-03-09 05:30:00",1866.05,21.79
"2004-03-10 05:30:00",1844.35,21.54
"2004-03-11 05:30:00",1805.4,21.08
"2004-03-12 05:30:00",1812.2,21.16
"2004-03-15 05:30:00",1763.4,20.59
"2004-03-16 05:30:00",1749.35,20.43
"2004-03-17 05:30:00",1749.85,20.44
"2004-03-18 05:30:00",1716.65,20.05
"2004-03-19 05:30:00",1725.1,20.15
"2004-03-22 05:30:00",1685,19.68
"2004-03-23 05:30:00",1696.4,19.81
"2004-03-24 05:30:00",1692.1,19.76
"2004-03-25 05:30:00",1704.45,19.91
"2004-03-26 05:30:00",1747.5,20.41
"2004-03-29 05:30:00",1762.05,20.58
"2004-03-30 05:30:00",1750.15,20.44
"2004-03-31 05:30:00",1771.9,20.7
"2004-04-01 05:30:00",1819.65,21.27
"2004-04-02 05:30:00",1841.1,21.53
"2004-04-05 05:30:00",1856.6,21.71
"2004-04-06 05:30:00",1851.15,21.64
"2004-04-07 05:30:00",1848.7,21.61
"2004-04-08 05:30:00",1853.55,21.67
"2004-04-12 05:30:00",1838.2,19.04
"2004-04-13 05:30:00",1878.45,19.46
"2004-04-15 05:30:00",1861.95,19.29
"2004-04-16 05:30:00",1868.95,19.36
"2004-04-17 05:30:00",1868.1,19.35
"2004-04-19 05:30:00",1844.05,19.1
"2004-04-20 05:30:00",1844.25,19.11
"2004-04-21 05:30:00",1873.35,19.41
"2004-04-22 05:30:00",1889.55,19.58
"2004-04-23 05:30:00",1892.45,19.68
"2004-04-27 05:30:00",1817.25,18.9
"2004-04-28 05:30:00",1816.55,18.89
"2004-04-29 05:30:00",1808.95,18.82
"2004-04-30 05:30:00",1796.1,18.68
"2004-05-03 05:30:00",1766.7,16.62
"2004-05-04 05:30:00",1793.1,16.87
"2004-05-05 05:30:00",1809.9,16.86
"2004-05-06 05:30:00",1832.8,17.04
"2004-05-07 05:30:00",1804.45,16.77
"2004-05-10 05:30:00",1769.1,16.38
"2004-05-11 05:30:00",1699.45,15.74
"2004-05-12 05:30:00",1711.1,15.86
"2004-05-13 05:30:00",1717.5,15.91
"2004-05-14 05:30:00",1582.4,14.66
"2004-05-17 05:30:00",1388.75,12.87
"2004-05-18 05:30:00",1503.95,13.94
"2004-05-19 05:30:00",1567.85,14.41
"2004-05-20 05:30:00",1543.85,13.99
"2004-05-21 05:30:00",1560.2,14.14
"2004-05-24 05:30:00",1608.85,13.9
"2004-05-25 05:30:00",1606.7,13.88
"2004-05-26 05:30:00",1598.8,13.75
"2004-05-27 05:30:00",1586.4,13.65
"2004-05-28 05:30:00",1508.75,12.98
"2004-05-31 05:30:00",1483.6,11.94
"2004-06-01 05:30:00",1507.9,12.14
"2004-06-02 05:30:00",1535.2,12.36
"2004-06-03 05:30:00",1495.1,12.04
"2004-06-04 05:30:00",1521.1,12.25
"2004-06-07 05:30:00",1542.55,12.42
"2004-06-08 05:30:00",1550.55,12.48
"2004-06-09 05:30:00",1548.3,12.47
"2004-06-10 05:30:00",1544.75,12.44
"2004-06-11 05:30:00",1508.45,12.14
"2004-06-14 05:30:00",1481.35,11.84
"2004-06-15 05:30:00",1501,12
"2004-06-16 05:30:00",1494.75,12.01
"2004-06-17 05:30:00",1512.05,12.15
"2004-06-18 05:30:00",1491.2,11.98
"2004-06-21 05:30:00",1482,11.91
"2004-06-22 05:30:00",1474.7,11.85
"2004-06-23 05:30:00",1446.1,11.62
"2004-06-24 05:30:00",1470.75,11.82
"2004-06-25 05:30:00",1488.5,11.96
"2004-06-28 05:30:00",1514.35,12.71
"2004-06-29 05:30:00",1518.3,12.74
"2004-06-30 05:30:00",1505.6,12.64
"2004-07-01 05:30:00",1537.2,12.9
"2004-07-02 05:30:00",1537.5,12.9
"2004-07-05 05:30:00",1526.85,12.72
"2004-07-06 05:30:00",1558.25,12.98
"2004-07-07 05:30:00",1566.8,13.05
"2004-07-08 05:30:00",1518.15,12.64
"2004-07-09 05:30:00",1553.2,12.94
"2004-07-12 05:30:00",1556.95,12.97
"2004-07-13 05:30:00",1539.3,12.82
"2004-07-14 05:30:00",1522.75,12.68
"2004-07-15 05:30:00",1539.4,12.82
"2004-07-16 05:30:00",1558.8,12.98
"2004-07-19 05:30:00",1571.6,13.09
"2004-07-20 05:30:00",1566.1,13.05
"2004-07-21 05:30:00",1581.4,13.17
"2004-07-22 05:30:00",1598.1,13.31
"2004-07-23 05:30:00",1601.6,13.34
"2004-07-26 05:30:00",1618,13.51
"2004-07-27 05:30:00",1600.75,13.37
"2004-07-28 05:30:00",1594.15,13.31
"2004-07-29 05:30:00",1618.7,13.52
"2004-07-30 05:30:00",1632.3,13.63
"2004-08-02 05:30:00",1639.05,13.69
"2004-08-03 05:30:00",1630.6,13.62
"2004-08-04 05:30:00",1626.55,13.58
"2004-08-05 05:30:00",1654.95,13.82
"2004-08-06 05:30:00",1633.4,13.64
"2004-08-09 05:30:00",1642.6,13.72
"2004-08-10 05:30:00",1652.15,13.8
"2004-08-11 05:30:00",1621.6,13.55
"2004-08-12 05:30:00",1607.2,13.43
"2004-08-13 05:30:00",1598.2,13.36
"2004-08-16 05:30:00",1599.15,13.36
"2004-08-17 05:30:00",1604.35,13.41
"2004-08-18 05:30:00",1581.8,13.22
"2004-08-19 05:30:00",1609.2,13.45
"2004-08-20 05:30:00",1590.35,13.29
"2004-08-23 05:30:00",1578.2,13.19
"2004-08-24 05:30:00",1591.6,13.3
"2004-08-25 05:30:00",1595.7,13.34
"2004-08-26 05:30:00",1610.75,13.46
"2004-08-27 05:30:00",1609,13.45
"2004-08-30 05:30:00",1628.45,13.61
"2004-08-31 05:30:00",1631.75,13.64
"2004-09-01 05:30:00",1635.45,13.67
"2004-09-02 05:30:00",1629.3,13.62
"2004-09-03 05:30:00",1634.1,13.66
"2004-09-06 05:30:00",1644,13.74
"2004-09-07 05:30:00",1650.15,13.79
"2004-09-08 05:30:00",1656.25,13.84
"2004-09-09 05:30:00",1649,13.78
"2004-09-10 05:30:00",1668.75,13.95
"2004-09-13 05:30:00",1675.2,14
"2004-09-14 05:30:00",1685.55,14.09
"2004-09-15 05:30:00",1683.2,14.07
"2004-09-16 05:30:00",1705.7,14.25
"2004-09-17 05:30:00",1733.65,14.49
"2004-09-20 05:30:00",1728.8,14.45
"2004-09-21 05:30:00",1750.2,14.63
"2004-09-22 05:30:00",1753.9,14.66
"2004-09-23 05:30:00",1726.15,14.42
"2004-09-24 05:30:00",1722.5,14.39
"2004-09-27 05:30:00",1717.5,14.35
"2004-09-28 05:30:00",1700.25,14.21
"2004-09-29 05:30:00",1727.95,14.44
"2004-09-30 05:30:00",1745.5,14.59
"2004-10-01 05:30:00",1775.15,14.84
"2004-10-04 05:30:00",1805.65,15.09
"2004-10-05 05:30:00",1812.45,15.15
"2004-10-06 05:30:00",1794.9,15
"2004-10-07 05:30:00",1815.7,15.17
"2004-10-08 05:30:00",1820.2,15.21
"2004-10-09 05:30:00",1817.8,15.19
"2004-10-11 05:30:00",1807.75,15.11
"2004-10-12 05:30:00",1786.9,14.93
"2004-10-14 05:30:00",1794.75,15
"2004-10-15 05:30:00",1795,15
"2004-10-18 05:30:00",1786,14.93
"2004-10-19 05:30:00",1808.4,15.11
"2004-10-20 05:30:00",1790.05,14.96
"2004-10-21 05:30:00",1779.75,14.87
"2004-10-25 05:30:00",1757.25,14.69
"2004-10-26 05:30:00",1781.05,14.89
"2004-10-27 05:30:00",1783.85,14.91
"2004-10-28 05:30:00",1800.1,15.04
"2004-10-29 05:30:00",1786.9,14.93
"2004-11-01 05:30:00",1797.75,15.03
"2004-11-02 05:30:00",1813.7,15.16
"2004-11-03 05:30:00",1837.4,15.36
"2004-11-04 05:30:00",1834.85,15.34
"2004-11-05 05:30:00",1852.3,15.48
"2004-11-08 05:30:00",1862.8,15.57
"2004-11-09 05:30:00",1858.75,15.54
"2004-11-10 05:30:00",1876.1,15.68
"2004-11-11 05:30:00",1870.55,15.64
"2004-11-12 05:30:00",1872.95,15.66
"2004-11-16 05:30:00",1879,15.71
"2004-11-17 05:30:00",1888.65,15.79
"2004-11-18 05:30:00",1892.05,15.82
"2004-11-19 05:30:00",1872.35,15.65
"2004-11-22 05:30:00",1873.35,15.66
"2004-11-23 05:30:00",1892.6,15.84
"2004-11-24 05:30:00",1904.05,15.93
"2004-11-25 05:30:00",1901.05,15.91
"2004-11-29 05:30:00",1939.65,16.23
"2004-11-30 05:30:00",1958.8,16.39
"2004-12-01 05:30:00",1962.05,16.42
"2004-12-02 05:30:00",1999,16.73
"2004-12-03 05:30:00",1996.2,16.71
"2004-12-06 05:30:00",1993.15,16.68
"2004-12-07 05:30:00",1992.7,16.68
"2004-12-08 05:30:00",1977.95,16.56
"2004-12-09 05:30:00",1989.95,16.66
"2004-12-10 05:30:00",1969,16.54
"2004-12-13 05:30:00",1985.35,16.68
"2004-12-14 05:30:00",2006.8,16.86
"2004-12-15 05:30:00",2028.7,17.04
"2004-12-16 05:30:00",2033.2,17.08
"2004-12-17 05:30:00",2012.1,16.91
"2004-12-20 05:30:00",2026.85,14.92
"2004-12-21 05:30:00",2044.65,15.05
"2004-12-22 05:30:00",2035.35,14.98
"2004-12-23 05:30:00",2045.15,15.06
"2004-12-24 05:30:00",2062.7,15.19
"2004-12-27 05:30:00",2062.6,15.19
"2004-12-28 05:30:00",2071.35,15.25
"2004-12-29 05:30:00",2069.6,15.24
"2004-12-30 05:30:00",2059.8,15.17
"2004-12-31 05:30:00",2080.5,15.32
"2005-01-03 05:30:00",,15.57
"2005-01-04 05:30:00",,15.49
"2005-01-05 05:30:00",,14.96
"2005-01-06 05:30:00",,14.71
"2005-01-07 05:30:00",,14.84
"2005-01-10 05:30:00",,14.58
"2005-01-11 05:30:00",,14.37
"2005-01-12 05:30:00",,14.05
"2005-01-13 05:30:00",,14.35
"2005-01-14 05:30:00",,14.18
"2005-01-17 05:30:00",,14.17
"2005-01-18 05:30:00",,14.19
"2005-01-19 05:30:00",,14.12
"2005-01-20 05:30:00",,14.09
"2005-01-24 05:30:00",,13.6
"2005-01-25 05:30:00",,13.74
"2005-01-27 05:30:00",,13.84
"2005-01-28 05:30:00",,14.34
"2005-01-31 05:30:00",,14.68
"2005-02-01 05:30:00",,14.34
"2005-02-02 05:30:00",,14.24
"2005-02-03 05:30:00",,14.42
"2005-02-04 05:30:00",,14.41
"2005-02-07 05:30:00",,14.26
"2005-02-08 05:30:00",,14.26
"2005-02-09 05:30:00",,14.36
"2005-02-10 05:30:00",,14.31
"2005-02-11 05:30:00",,14.48
"2005-02-14 05:30:00",,14.59
"2005-02-15 05:30:00",,14.53
"2005-02-16 05:30:00",,14.39
"2005-02-17 05:30:00",,14.34
"2005-02-18 05:30:00",,14.29
"2005-02-21 05:30:00",,14.21
"2005-02-22 05:30:00",,14.31
"2005-02-23 05:30:00",,14.3
"2005-02-24 05:30:00",,14.29
"2005-02-25 05:30:00",,14.71
"2005-02-28 05:30:00",,15.02
"2005-03-01 05:30:00",,14.88
"2005-03-02 05:30:00",,14.94
"2005-03-03 05:30:00",,15.2
"2005-03-04 05:30:00",,15.34
"2005-03-07 05:30:00",,15.42
"2005-03-08 05:30:00",,15.48
"2005-03-09 05:30:00",,15.43
"2005-03-10 05:30:00",,15.47
"2005-03-11 05:30:00",,15.38
"2005-03-14 05:30:00",,15.32
"2005-03-15 05:30:00",,15.2
"2005-03-16 05:30:00",,15.17
"2005-03-17 05:30:00",,14.98
"2005-03-18 05:30:00",,15.06
"2005-03-21 05:30:00",,14.97
"2005-03-22 05:30:00",,14.72
"2005-03-23 05:30:00",,14.47
"2005-03-24 05:30:00",,14.39
"2005-03-28 05:30:00",,14.54
"2005-03-29 05:30:00",,14.21
"2005-03-30 05:30:00",,14.3
"2005-03-31 05:30:00",,14.6
"2005-04-01 05:30:00",,14.84
"2005-04-04 05:30:00",,14.81
"2005-04-05 05:30:00",,14.71
"2005-04-06 05:30:00",,14.83
"2005-04-07 05:30:00",,14.71
"2005-04-08 05:30:00",,14.56
"2005-04-11 05:30:00",,14.39
"2005-04-12 05:30:00",,14.65
"2005-04-13 05:30:00",,14.52
"2005-04-15 05:30:00",,13.95
"2005-04-18 05:30:00",,13.75
"2005-04-19 05:30:00",,13.64
"2005-04-20 05:30:00",,13.78
"2005-04-21 05:30:00",,13.87
"2005-04-22 05:30:00",,13.97
"2005-04-25 05:30:00",,13.99
"2005-04-26 05:30:00",,13.85
"2005-04-27 05:30:00",,13.51
"2005-04-28 05:30:00",,13.55
"2005-04-29 05:30:00",,13.27
"2005-05-02 05:30:00",,13.32
"2005-05-03 05:30:00",,13.35
"2005-05-04 05:30:00",,13.5
"2005-05-05 05:30:00",,13.64
"2005-05-06 05:30:00",,13.71
"2005-05-09 05:30:00",,13.87
"2005-05-10 05:30:00",,13.82
"2005-05-11 05:30:00",,13.76
"2005-05-12 05:30:00",,13.81
"2005-05-13 05:30:00",,13.78
"2005-05-16 05:30:00",,13.97
"2005-05-17 05:30:00",,13.8
"2005-05-18 05:30:00",,13.74
"2005-05-19 05:30:00",,13.74
"2005-05-20 05:30:00",,13.73
"2005-05-23 05:30:00",,13.88
"2005-05-24 05:30:00",,13.98
"2005-05-25 05:30:00",,13.75
"2005-05-26 05:30:00",,13.95
"2005-05-27 05:30:00",,13.97
"2005-05-30 05:30:00",,13.86
"2005-05-31 05:30:00",,13.94
"2005-06-01 05:30:00",,13.93
"2005-06-02 05:30:00",,13.77
"2005-06-03 05:30:00",,13.97
"2005-06-04 05:30:00",,13.96
"2005-06-06 05:30:00",,13.96
"2005-06-07 05:30:00",,14
"2005-06-08 05:30:00",,14.09
