Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,v80,InPortfolio,LatestQtr,StarStock,BizSimple,BizType,BizOutlook,BizDurability,Conviction,Category,Stock
JINDALSTEL,,,,,1,0,0,0,0,0,,,,L,,JINDALSTEL.NS
JSWSTEEL,,,,,1,0,0,0,0,0,,,,L,,JSWSTEEL.NS
JUBLFOOD,458.16,,217,90.5,1,0,1,0,1,0,G,1,1,H,RESTAURANTS,JUBLFOOD.NS
KANSAINER,,,,,0,1,0,1,0,1,,,,M,,KANSAINER.NS
KOTAKBANK,,,,,1,1,0,1,0,0,,1,0,L,BANKS,KOTAKBANK.NS
LALPATHLAB,,,,,0,1,0,1,0,1,,,,M,,LALPATHLAB.NS
LT,,,,,1,0,0,1,1,0,,1,0,M,ENGINEERING,LT.NS
LTIM,,,,26.6,1,0,0,1,1,0,,1,0,M,IT,LTIM.NS
LUPIN,,,,,1,0,0,1,0,0,,1,0,M,,LUPIN.NS
M&M,,,,20.5,1,0,0,0,1,0,,1,1,H,AUTO,M&M.NS
MARICO,,,,52.7,1,1,0,1,1,0,,1,0,M,FMCG,MARICO.NS
MARUTI,,,,,1,0,0,1,0,0,,1,1,H,AUTO,MARUTI.NS
MCDOWELL-N,,,,74.5,1,0,0,0,1,0,,0,1,L,BREWERIES,MCDOWELL-N.NS
MCX,,,,,0,1,0,0,0,1,,,,M,,MCX.NS
MOTILALOFS,733,,,19.7,0,0,0,1,0,0,,-1,0,L,FINANCE,MOTILALOFS.NS
MUTHOOTFIN,1082,,,12.5,1,0,0,0,0,0,,-1,0,L,FINANCE,MUTHOOTFIN.NS
NAM-INDIA,,,,29.9,0,1,0,1,0,0,,1,0,L,,NAM-INDIA.NS
NATIONALUM,,,,10.3,0,0,0,0,0,0,,0,1,L,METALS,NATIONALUM.NS
NAUKRI,4154,,,78.8,1,0,0,0,0,0,,1,0,M,IT,NAUKRI.NS
NESTLEIND,,,,,1,1,0,0,0,0,,1,1,H,,NESTLEIND.NS
NETWORK18,,,,,1,0,0,1,0,0,,-1,-1,L,,NETWORK18.NS
NMDC,,,,,1,0,0,0,0,0,,0,1,L,,NMDC.NS
NTPC,,,,,1,0,0,0,1,0,V,,,L,,NTPC.NS
OFSS,,,,16.6,0,1,0,1,1,1,,1,0,M,IT,OFSS.NS
ONGC,,,,,1,0,0,0,1,0,V,,,L,,ONGC.NS
PAGEIND,39840.5,,2,97.7,1,1,1,0,1,0,G,1,1,H,APPARELS,PAGEIND.NS
PEL,,,,,1,0,0,1,0,0,,-1,0,L,,PEL.NS
PFIZER,,,,36.5,0,1,0,0,0,0,,0,1,L,PHARMA,PFIZER.NS
PGHH,,,,,1,1,0,0,0,0,,0,0,L,,PGHH.NS
PIDILITIND,2442.09,,20,94.6,1,1,1,1,1,0,G,1,1,H,CHEMICALS,PIDILITIND.NS
PIIND,,,,,1,0,0,0,1,0,,,,L,,PIIND.NS
PNB,,,,,1,0,0,0,0,0,V,,,L,,PNB.NS
POLYCAB,,,,36.1,0,1,0,1,1,1,,1,0,M,CABLES,POLYCAB.NS
POWERGRID,,,,,1,0,0,0,0,0,,,,L,,POWERGRID.NS
PVRINOX,,,,51.2,0,0,0,0,0,0,,1,-1,L,,PVR.NS
RADICO,,,,,0,1,0,0,0,1,,,,M,,RADICO.NS
RAJESHEXPO,,,,,0,1,0,0,0,1,,,,M,,RAJESHEXPO.NS
RELAXO,,,,,0,1,0,1,0,1,,,,M,,RELAXO.NS
RELIANCE,2422.52,,42,29.1,1,0,1,1,1,0,G,1,0,H,REFINERIES,RELIANCE.NS
SAIL,,,,6.9,1,0,0,0,0,0,,-1,1,L,METALS,SAIL.NS
SANOFI,,,,,0,1,0,0,0,1,,,,M,,SANOFI.NS
SBICARD,,,,,1,0,0,1,1,0,,1,0,M,,SBICARD.NS
SBILIFE,1284,,,62.1,1,0,0,1,0,0,,0,1,L,INSURANCE,SBILIFE.NS
SBIN,,,,13.2,1,0,0,0,1,0,V,1,0,M,BANKS,SBIN.NS
SFL,,,,,0,1,0,0,0,1,,,,M,,SFL.NS
SHREECEM,,,,,1,0,0,0,0,0,,,,L,,SHREECEM.NS
SIEMENS,,,,,1,0,0,0,0,0,,1,1,H,,SIEMENS.NS
SIS,,,,,0,1,0,1,0,1,,,,M,,SIS.NS
SUNPHARMA,,,,,1,0,0,0,0,0,,1,1,H,PHARMA,SUNPHARMA.NS
SUNTV,,,,,0,1,0,0,0,1,,,,M,,SUNTV.NS
SUZLON,,,,,0,0,0,0,0,0,,-1,0,L,ELECTRICAL,SUZLON.NS
SYMPHONY,,,,,0,1,0,1,0,1,,,,M,,SYMPHONY.NS
TASTYBITE,,,,,0,1,0,0,0,1,,,,M,,TASTYBITE.NS
TATACONSUM,758.64,,130,68.8,1,0,1,1,1,0,G,1,1,H,FMCG,TATACONSUM.NS
TATAMOTORS,392,,,19.2,1,0,0,1,0,0,,1,-1,L,AUTO,TATAMOTORS.NS
TATAPOWER,206,,,20.4,0,0,0,1,1,0,,1,0,M,ELECTRICAL,TATAPOWER.NS
TATASTEEL,,,,6,1,0,0,1,0,0,,-1,0,L,METALS,TATASTEEL.NS
TCS,,,,28.1,1,1,0,1,1,0,,1,0,H,IT,TCS.NS
TEAMLEASE,,,,,0,1,0,0,0,1,,,,M,,TEAMLEASE.NS
TECHM,1048,,,18.7,1,0,0,1,0,0,,-1,1,L,IT,TECHM.NS
TIPSINDLTD,,,,,0,0,0,1,0,0,,0,1,L,ENTERTAINMENT,TIPSINDLTD.NS
TITAN,,,,78,1,1,0,1,1,0,,1,1,H,JEWELLERY,TITAN.NS
TORNTPHARM,,,,,1,0,0,0,0,0,,,,L,,TORNTPHARM.NS
TTKPRESTIG,,,,,0,1,0,0,0,1,,,,M,,TTKPRESTIG.NS
UJJIVAN,,,,,0,1,0,0,0,1,,,,M,,UJJIVAN.NS
UJJIVANSFB,,,,16.8,0,1,0,1,1,1,,0,1,M,BANKS,UJJIVANSFB.NS
