Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
ENGINERSIN.NS,2020-11-15,71.2,1.4,692.0,5.8100000000000005,2929.0,12.25,0.75,5.46,474.0,12.43,67.85,6.41,-1.54,4.87,45.99,86.67,4.87
ENGINERSIN.NS,2021-02-15,74.95,1.39,845.0,5.43,2875.0,13.8,1.4,5.8100000000000005,692.0,12.25,71.2,-6.54,11.82,5.28,22.11,-0.71,5.28
ENGINERSIN.NS,2021-05-16,78.55,0.44,1132.0,3.9799999999999995,3143.0,19.74,1.39,5.43,845.0,13.8,74.95,-26.7,31.54,4.84,33.96,-68.35,4.84
ENGINERSIN.NS,2021-08-15,70.75,0.05,746.0,3.28,3415.0,21.57,0.44,3.9799999999999995,1132.0,19.74,78.55,-17.59,7.64,-9.95,-34.1,-88.64,-9.95
ENGINERSIN.NS,2021-11-15,71.1,0.3,657.0,2.1799999999999997,3380.0,32.61,0.05,3.28,746.0,21.57,70.75,-33.54,34.02,0.480000000000004,-11.93,500.0,0.480000000000004
FDC.NS,2020-08-15,323.7,5.36,308.0,16.1,1308.0,20.11,,,,,,,,,,,
FDC.NS,2020-11-15,335.3,5.15,371.0,18.090000000000003,1333.0,18.54,5.36,16.1,308.0,20.11,323.7,12.36,-8.77,3.59,20.45,-3.92,3.59
FDC.NS,2021-02-15,289.75,4.46,340.0,18.21,1352.0,15.91,5.15,18.090000000000003,371.0,18.54,335.3,0.66,-14.28,-13.62,-8.36,-13.4,-13.62
FDC.NS,2021-05-16,334.6,2.78,313.0,17.75,1332.0,18.85,4.46,18.21,340.0,15.91,289.75,-2.53,18.01,15.480000000000002,-7.94,-37.67,15.480000000000002
FDC.NS,2021-08-15,360.2,5.8,447.0,18.189999999999998,1471.0,19.8,2.78,17.75,313.0,18.85,334.6,2.48,5.16,7.640000000000001,42.81,108.63,7.640000000000001
FDC.NS,2021-11-15,306.25,4.29,398.0,17.33,1498.0,17.67,5.8,18.189999999999998,447.0,19.8,360.2,-4.73,-10.25,-14.98,-10.96,-26.03,-14.98
FINEORG.NS,2020-08-15,2272.0,9.34,240.0,50.830000000000005,1027.0,44.7,,,,,,,,,,,
FINEORG.NS,2020-11-15,2571.85,10.18,271.0,42.41,1024.0,60.64,9.34,50.830000000000005,240.0,44.7,2272.0,-16.57,29.75,13.18,12.92,8.99,13.18
FINEORG.NS,2021-02-15,2419.3,9.36,299.0,40.09,1057.0,60.35,10.18,42.41,271.0,60.64,2571.85,-5.47,-0.45,-5.92,10.33,-8.06,-5.92
FINEORG.NS,2021-05-16,3160.4,10.37,323.0,39.25,1133.0,80.52,9.36,40.09,299.0,60.35,2419.3,-2.1,32.72,30.619999999999997,8.03,10.79,30.619999999999997
FINEORG.NS,2021-08-15,2895.3,11.71,358.0,41.62,1251.0,69.57,10.37,39.25,323.0,80.52,3160.4,6.04,-14.42,-8.379999999999999,10.84,12.92,-8.379999999999999
FINEORG.NS,2021-11-15,3298.2,16.27,438.0,47.71,1418.0,69.13,11.71,41.62,358.0,69.57,2895.3,14.63,-0.73,13.9,22.35,38.94,13.9
FSL.NS,2020-08-15,52.2,1.28,1062.0,4.86,4180.0,10.74,,,,,,,,,,,
FSL.NS,2020-11-15,74.15,1.52,1188.0,5.41,4383.0,13.71,1.28,4.86,1062.0,10.74,52.2,11.32,30.78,42.1,11.86,18.75,42.1
FSL.NS,2021-02-15,97.45,1.74,1365.0,5.86,4695.0,16.63,1.52,5.41,1188.0,13.71,74.15,8.32,23.08,31.4,14.9,14.47,31.4
FSL.NS,2021-05-16,125.15,0.67,1463.0,5.21,5078.0,24.02,1.74,5.86,1365.0,16.63,97.45,-11.09,39.51,28.419999999999998,7.18,-61.49,28.419999999999998
FSL.NS,2021-08-15,201.1,1.93,1485.0,5.859999999999999,5501.0,34.32,0.67,5.21,1463.0,24.02,125.15,12.48,48.23,60.709999999999994,1.5,188.06,60.709999999999994
FSL.NS,2021-11-15,177.55,1.94,1429.0,6.28,5742.0,28.27,1.93,5.859999999999999,1485.0,34.32,201.1,7.17,-18.89,-11.72,-3.77,0.52,-11.72
GMMPFAUDLR.NS,2020-08-15,5780.95,13.13,154.0,49.69,595.0,116.34,,,,,,,,,,,
GMMPFAUDLR.NS,2020-11-15,3426.0,18.38,186.0,53.849999999999994,628.0,63.62,13.13,49.69,154.0,116.34,5780.95,8.37,-49.11,-40.74,20.78,39.98,-40.74
GMMPFAUDLR.NS,2021-02-15,3696.7,15.84,202.0,55.29,674.0,66.86,18.38,53.849999999999994,186.0,63.62,3426.0,2.67,5.23,7.9,8.6,-13.82,7.9
GMMPFAUDLR.NS,2021-05-16,4438.3,2.84,459.0,50.190000000000005,1001.0,88.43,15.84,55.29,202.0,66.86,3696.7,-9.22,29.29,20.07,127.23,-82.07,20.07
GMMPFAUDLR.NS,2021-08-15,4417.85,1.77,552.0,38.83,1399.0,113.77,2.84,50.190000000000005,459.0,88.43,4438.3,-22.63,22.17,-0.4599999999999973,20.26,-37.68,-0.4599999999999973
GMMPFAUDLR.NS,2021-11-15,4861.45,23.67,647.0,44.120000000000005,1860.0,110.19,1.77,38.83,552.0,113.77,4417.85,13.62,-3.58,10.04,17.21,1237.29,10.04
GRANULES.NS,2020-08-15,306.9,4.51,736.0,14.43,2740.0,21.27,,,,,,,,,,,
GRANULES.NS,2020-11-15,379.7,6.61,858.0,17.27,2898.0,21.99,4.51,14.43,736.0,21.27,306.9,19.68,4.05,23.73,16.58,46.56,23.73
GRANULES.NS,2021-02-15,336.15,5.93,845.0,20.679999999999996,3039.0,16.25,6.61,17.27,858.0,21.99,379.7,19.75,-31.26,-11.510000000000002,-1.52,-10.29,-11.510000000000002
GRANULES.NS,2021-05-16,321.85,5.15,799.0,22.200000000000003,3238.0,14.5,5.93,20.679999999999996,845.0,16.25,336.15,7.35,-11.56,-4.210000000000001,-5.44,-13.15,-4.210000000000001
GRANULES.NS,2021-08-15,360.7,4.85,850.0,22.54,3352.0,16.0,5.15,22.200000000000003,799.0,14.5,321.85,1.53,10.5,12.03,6.38,-5.83,12.03
