Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
BAJFINANCE.NS,2018-05-16,1901.95,43.19,44.04,33.4,39.91,1332.95,29.31,13.38,42.69
BAJFINANCE.NS,2019-05-16,3002.75,69.12,43.44,43.19,44.04,1901.95,60.04,-2.18,57.86
BAJFINANCE.NS,2020-05-16,2086.45,87.48,23.85,69.12,43.44,3002.75,26.56,-57.07,-30.51
BAJFINANCE.NS,2021-05-16,5330.35,73.35,72.67,87.48,23.85,2086.45,-16.15,171.63,155.48
BAJFINANCE.NS,2021-11-15,7579.1,82.52,91.85,73.35,72.67,5330.35,12.5,29.69,42.19
BPCL.NS,2012-05-16,121.46,3.6,33.74,,,,,,
BPCL.NS,2013-05-16,138.63,8.67,15.99,3.6,33.74,121.46,140.83,-126.7,14.13000000000001
BPCL.NS,2014-05-16,172.12,18.03,9.55,8.67,15.99,138.63,107.96,-83.76,24.19999999999999
BPCL.NS,2015-05-16,255.68,22.16,11.54,18.03,9.55,172.12,22.91,25.62,48.53
BPCL.NS,2016-05-16,309.27,37.29,8.29,22.16,11.54,255.68,68.28,-47.4,20.880000000000003
BPCL.NS,2017-05-16,485.23,40.2,12.07,37.29,8.29,309.27,7.8,49.13,56.93
BPCL.NS,2018-05-16,405.8,41.53,9.77,40.2,12.07,485.23,3.31,-19.69,-16.380000000000003
BPCL.NS,2019-05-16,359.55,35.97,10.0,41.53,9.77,405.8,-13.39,2.04,-11.350000000000001
BPCL.NS,2020-05-16,318.2,14.08,22.6,35.97,10.0,359.55,-60.86,49.34,-11.519999999999996
BPCL.NS,2021-05-16,442.25,74.52,5.93,14.08,22.6,318.2,429.26,-390.4,38.860000000000014
BPCL.NS,2021-11-15,427.7,82.71,5.17,74.52,5.93,442.25,10.99,-14.21,-3.2200000000000006
HCLTECH.NS,2012-08-15,137.64,8.74,15.75,,,,,,
HCLTECH.NS,2013-08-15,230.05,14.49,15.88,8.74,15.75,137.64,65.79,1.37,67.16000000000001
HCLTECH.NS,2014-08-15,384.5,23.25,16.54,14.49,15.88,230.05,60.46,6.67,67.13
HCLTECH.NS,2015-08-15,486.85,26.02,18.71,23.25,16.54,384.5,11.91,14.68,26.59
HCLTECH.NS,2016-05-16,361.58,19.86,18.21,26.02,18.71,486.85,-23.67,-2.04,-25.71
HCLTECH.NS,2017-05-16,424.27,30.16,14.07,19.86,18.21,361.58,51.86,-34.53,17.33
HCLTECH.NS,2018-05-16,462.5,31.32,14.77,30.16,14.07,424.27,3.85,5.17,9.02
HCLTECH.NS,2019-05-16,,37.31,,31.32,14.77,462.5,19.13,,
HCLTECH.NS,2020-05-16,511.25,40.75,12.55,37.31,,,9.22,,
HCLTECH.NS,2021-05-16,910.35,41.07,22.17,40.75,12.55,511.25,0.79,77.28,78.07000000000001
HCLTECH.NS,2021-11-15,1172.35,42.51,27.58,41.07,22.17,910.35,3.51,25.26,28.770000000000003
SBILIFE.NS,2018-05-16,678.9,11.5,59.03,,,,,,
SBILIFE.NS,2019-05-16,628.85,13.27,47.39,11.5,59.03,678.9,15.39,-22.75,-7.359999999999999
SBILIFE.NS,2020-05-16,751.95,14.22,52.88,13.27,47.39,628.85,7.16,12.41,19.57
SBILIFE.NS,2021-05-16,978.4,14.56,67.2,14.22,52.88,751.95,2.39,27.73,30.12
SBILIFE.NS,2021-11-15,1174.9,12.35,95.13,14.56,67.2,978.4,-15.18,35.26,20.08
DRREDDY.NS,2012-05-16,1659.35,76.72,21.63,,,,,,
DRREDDY.NS,2013-05-16,2065.3,89.9,22.97,76.72,21.63,1659.35,17.18,7.26,24.439999999999998
DRREDDY.NS,2014-05-16,2481.6,115.41,21.5,89.9,22.97,2065.3,28.38,-8.21,20.169999999999998
DRREDDY.NS,2015-05-16,3496.45,137.13,25.5,115.41,21.5,2481.6,18.82,22.1,40.92
DRREDDY.NS,2016-05-16,2917.2,124.88,23.36,137.13,25.5,3496.45,-8.93,-7.64,-16.57
DRREDDY.NS,2017-05-16,2675.8,77.96,34.32,124.88,23.36,2917.2,-37.57,29.29,-8.280000000000001
DRREDDY.NS,2018-05-16,2008.5,57.07,35.19,77.96,34.32,2675.8,-26.8,1.86,-24.94
DRREDDY.NS,2019-05-16,2813.55,117.42,23.96,57.07,35.19,2008.5,105.75,-65.65,40.099999999999994
DRREDDY.NS,2020-05-16,3735.1,121.92,30.64,117.42,23.96,2813.55,3.83,28.95,32.78
DRREDDY.NS,2021-05-16,5196.85,117.35,44.29,121.92,30.64,3735.1,-3.75,42.89,39.14
DRREDDY.NS,2021-11-15,4843.25,117.9,41.08,117.35,44.29,5196.85,0.47,-7.28,-6.8100000000000005
TCS.NS,2012-05-16,613.15,26.6,23.05,,,,,,
TCS.NS,2013-05-16,735.78,35.55,20.7,26.6,23.05,613.15,33.65,-13.63,20.019999999999996
TCS.NS,2014-05-16,1096.57,48.92,22.42,35.55,20.7,735.78,37.61,11.44,49.05
TCS.NS,2015-05-16,1255.57,50.68,24.77,48.92,22.42,1096.57,3.6,10.86,14.459999999999999
