SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
PSPPROJECT,PSP Projects Limited,EQ,29-May-17,10,1,INE488V01015,10
PTC,PTC India Limited,EQ,7-Apr-04,10,1,INE877F01012,10
PTL,PTL Enterprises Limited,EQ,29-Jan-07,2,1,INE034D01031,2
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,EQ,8-Mar-07,10,1,INE277B01014,10
PUNJLLOYD,Punj Lloyd Limited,BZ,6-Jan-06,2,1,INE701B01021,2
PURVA,Puravankara Limited,EQ,30-Aug-07,5,1,INE323I01011,5
PVP,PVP Ventures Limited,EQ,3-Apr-96,10,1,INE362A01016,10
PVR,PVR Limited,EQ,4-Jan-06,10,1,INE191H01014,10
QUESS,Quess Corp Limited,EQ,12-Jul-16,10,1,INE615P01015,10
QUICKHEAL,Quick Heal Technologies Limited,EQ,18-Feb-16,10,1,INE306L01010,10
RADAAN,Radaan Mediaworks India Limited,EQ,27-Feb-03,2,1,INE874F01027,2
RADICO,Radico Khaitan Limited,EQ,18-Jun-03,2,1,INE944F01028,2
RADIOCITY,Music Broadcast Limited,EQ,17-Mar-17,2,1,INE919I01024,2
RAILTEL,Railtel Corporation Of India Limited,EQ,26-Feb-21,10,1,INE0DD101019,10
RAIN,Rain Industries Limited,EQ,3-Mar-08,2,1,INE855B01025,2
RAJESHEXPO,Rajesh Exports Limited,EQ,9-Feb-00,1,1,INE343B01030,1
RAJMET,Rajnandini Metal Limited,EQ,16-Feb-21,10,1,INE00KV01014,10
RAJRATAN,Rajratan Global Wire Limited,BE,22-May-20,10,1,INE451D01011,10
RAJSREESUG,Rajshree Sugars & Chemicals Limited,EQ,29-Mar-95,10,1,INE562B01019,10
RAJTV,Raj Television Network Limited,EQ,16-Mar-07,5,1,INE952H01027,5
RALLIS,Rallis India Limited,EQ,1-Apr-99,1,1,INE613A01020,1
RAMANEWS,Shree Rama Newsprint Limited,EQ,20-Sep-06,10,1,INE278B01020,10
RAMASTEEL,Rama Steel Tubes Limited,EQ,19-Aug-15,5,1,INE230R01027,5
RAMCOCEM,The Ramco Cements Limited,EQ,9-Apr-97,1,1,INE331A01037,1
RAMCOIND,Ramco Industries Limited,EQ,6-Nov-96,1,1,INE614A01028,1
