Date, Market Mood Index, Nifty Index
14/03/2018,50.6659507935618,10410.9
13/03/2018,47.2393597701417,10426.85
12/03/2018,37.4312762082188,10421.4
09/03/2018,31.4241625231099,10226.85
08/03/2018,31.4068637295508,10242.65
07/03/2018,31.3317613752817,10154.2
06/03/2018,30.1092348254091,10249.25
05/03/2018,34.8621891819318,10358.85
01/03/2018,39.5062109059729,10458.35
28/02/2018,37.7290648854701,10492.85
27/02/2018,32.6454521434067,10554.3
26/02/2018,35.4578170421754,10582.6
23/02/2018,29.0694934642371,10491.05
22/02/2018,23.9640959675739,10382.7
21/02/2018,24.5949179420766,10397.45
20/02/2018,18.1708370185765,10360.4
19/02/2018,14.2874530740314,10378.4
16/02/2018,15,10452.3
15/02/2018,15,10545.5
14/02/2018,17.6889012446854,10500.9
12/02/2018,22.471641974942,10539.75
09/02/2018,26.4906868973454,10454.95
08/02/2018,22.6439426517215,10576.85
07/02/2018,21.3249451781945,10476.7
06/02/2018,37.0804751000258,10498.25
05/02/2018,48.4416056657911,10666.55
02/02/2018,51.5286699244788,10760.6
01/02/2018,54.9641137064267,11016.9
31/01/2018,54.4416814681516,11027.7
30/01/2018,54.9365765626156,11049.65
29/01/2018,48.7432957165031,11130.4
25/01/2018,43.6557847959546,11069.65
24/01/2018,45.567373506396,11086
23/01/2018,51.0329141854771,11083.7
22/01/2018,51.0728662983405,10966.2
19/01/2018,53.1410223349836,10894.7
18/01/2018,57.598508277134,10817
17/01/2018,53.1522551260886,10788.55
16/01/2018,50.7793769447542,10700.45
15/01/2018,55.3616244145703,10741.55
12/01/2018,48.1406326859245,10681.25
11/01/2018,52.3259982907765,10651.2
10/01/2018,56.7230115738847,10632.2
09/01/2018,52.010247277795,10637
08/01/2018,56.6732529894063,10623.6
05/01/2018,58.3447517462962,10558.85
04/01/2018,53.3832972218498,10504.8
03/01/2018,47.5113497107285,10443.2
02/01/2018,44.7992548837318,10442.2
01/01/2018,60.660930937498,10435.55
29/12/2017,68.5980447123274,10530.7
28/12/2017,61.6193913457501,10477.9
27/12/2017,57.6967062879418,10490.75
26/12/2017,53.7362530060543,10531.5
22/12/2017,54.6039064610245,10493
21/12/2017,61.4823259514457,10440.3
20/12/2017,62.851742952969,10444.2
19/12/2017,52.6857301375617,10463.2
18/12/2017,38.9088746087921,10388.75
15/12/2017,34.6847937596734,10333.25
14/12/2017,26.6106371033875,10252.1
13/12/2017,25.3112019520754,10192.95
12/12/2017,32.255422894249,10240.15
11/12/2017,39.9233614232198,10322.25
08/12/2017,42.5343011106619,10265.65
07/12/2017,29.4603231704517,10166.7
06/12/2017,20.9351490649948,10044.1
05/12/2017,29.7459408996604,10118.25
04/12/2017,35.9025864655309,10127.75
01/12/2017,45.8268987098451,10121.8
30/11/2017,56.9251489963557,10226.55
29/11/2017,56.0068949143657,10361.3
28/11/2017,58.5516741425111,10370.25
27/11/2017,58.6948946400923,10399.55
24/11/2017,54.0768202569258,10389.7
23/11/2017,44.2837742484319,10348.75
22/11/2017,44.5601493180546,10342.3
21/11/2017,42.5142758481836,10326.9
20/11/2017,38.2152070701399,10298.75
17/11/2017,35.0684407028548,10283.6
16/11/2017,31.2999369311396,10214.75
15/11/2017,26.2712751250762,10118.05
14/11/2017,30.1767148048623,10186.6
13/11/2017,35.1148234179257,10224.95
09/11/2017,40.1193203512808,10308.95
08/11/2017,39.33413169667,10303.15
07/11/2017,53.022209213274,10350.15
06/11/2017,70.2060616635028,10451.8
03/11/2017,73.5390906213094,10452.5
02/11/2017,73.682401504028,10423.8
01/11/2017,74.4628960608623,10440.5
31/10/2017,73.8194199492474,10335.3
30/10/2017,69.167904814489,10363.65
27/10/2017,62.7419425733163,10323.05
26/10/2017,66.5658155244317,10343.8
25/10/2017,68.4789710099749,10295.35
24/10/2017,63.6633248299284,10207.7
23/10/2017,59.6931444187775,10184.85
18/10/2017,62.9170918705559,10210.85
17/10/2017,62.90653180337,10234.45
16/10/2017,61.3187316210988,10230.85
13/10/2017,62.8903018829123,10167.45
12/10/2017,54.064600621143,10096.4
11/10/2017,51.1168694540449,9984.8
10/10/2017,49.9033730582863,10016.95
09/10/2017,50.277867878237,9988.75
06/10/2017,49.383997639229,9979.7
05/10/2017,45.4392659812895,9888.7
04/10/2017,40.5969128860305,9914.9
03/10/2017,33.7120549842013,9859.5
29/09/2017,34.8630831728691,9788.6
28/09/2017,26.6515560678696,9768.95
27/09/2017,22.9296456664259,9735.75
26/09/2017,29.1704108967781,9871.5
25/09/2017,32.3302361494217,9872.6
22/09/2017,45.2284567659695,9964.4
21/09/2017,59.7128414418596,10121.9
20/09/2017,59.6541705549042,10141.15
19/09/2017,53.5956301070263,10147.55
18/09/2017,46.347110156879,10153.1
